Product,Monthly_Expense,Purchase_Frequency,Is_Seasonal,Label
Soap,1002,22.1,0,0
Luxury Watch,51855,2.09,1,1
Vegetables,945,13.0,0,0
Camera,82700,3.11,1,1
Gaming Console,38016,4.24,1,1
Perfume,87507,2.18,1,1
Toothpaste,100,28.7,0,0
Rice,103,18.2,0,0
Soap,917,18.6,1,0
Camera,89122,1.33,1,1
Vegetables,912,25.4,0,0
Rice,430,20.8,0,0
Laptop,63367,0.51,1,1
Smart TV,25456,2.27,1,1
Gaming Console,18163,1.44,1,1
Salt,559,18.1,1,0
Eggs,1378,13.1,1,0
Perfume,67740,4.08,1,1
Air Conditioner,58336,0.9,0,1
Gaming Console,11120,4.56,1,1
Designer Bag,72282,1.71,1,1
Laptop,20477,4.4,0,1
Bread,753,13.4,0,0
Air Conditioner,83080,3.76,0,1
Perfume,84808,1.68,0,1
Eggs,1722,15.5,0,0
Salt,1452,27.7,0,0
Rice,188,19.4,1,0
Soap,383,18.5,0,0
Smart TV,39484,0.24,0,1
Eggs,331,25.4,1,0
Air Conditioner,99711,0.36,0,1
Jewelry,5208,3.14,0,1
Rice,1908,24.4,1,0
Cooking Oil,159,28.8,1,0
Smartphone,36910,0.71,1,1
Shampoo,713,21.2,1,0
Smart TV,16716,3.93,1,1
Toothpaste,467,15.1,1,0
Rice,146,16.2,1,0
Designer Bag,54000,2.71,1,1
Salt,791,14.2,0,0
Jewelry,10574,4.93,0,1
Smartphone,18182,2.25,1,1
Shampoo,814,29.3,0,0
Soap,1408,10.4,1,0
Smartphone,49810,0.69,1,1
Air Conditioner,46494,4.03,1,1
Bread,1824,16.0,0,0
Eggs,1353,26.1,0,0
Gaming Console,73897,4.72,1,1
Luxury Watch,73920,0.86,0,1
Cooking Oil,371,23.7,0,0
Camera,69152,3.5,0,1
Air Conditioner,11222,4.91,0,1
Soap,1794,24.2,1,0
Laptop,52809,0.41,1,1
Bread,1496,13.6,0,0
Soap,838,22.8,0,0
Jewelry,15170,0.57,1,1
Laptop,28953,3.13,0,1
Smartphone,58134,0.22,0,1
Perfume,55492,4.29,0,1
Soap,883,24.7,0,0
Salt,197,14.9,0,0
Vegetables,1287,28.1,1,0
Laptop,67897,2.88,1,1
Laptop,41230,2.24,1,1
Luxury Watch,31438,2.75,1,1
Smart TV,26752,2.17,1,1
Toothpaste,1765,29.4,0,0
Luxury Watch,9471,1.79,0,1
Vegetables,1374,26.8,0,0
Gaming Console,47654,4.59,1,1
Salt,1188,14.5,0,0
Toothpaste,916,25.5,1,0
Milk,144,18.8,0,0
Designer Bag,70881,4.13,0,1
Designer Bag,55257,1.08,1,1
Luxury Watch,55173,4.69,1,1
Gaming Console,18636,2.09,0,1
Luxury Watch,58161,1.47,1,1
Cooking Oil,1197,12.2,0,0
Bread,1970,16.2,1,0
Rice,1773,11.0,1,0
Perfume,71473,2.35,1,1
Jewelry,73857,0.1,1,1
Smartphone,41528,4.14,0,1
Luxury Watch,57495,2.19,0,1
Jewelry,43418,0.52,1,1
Rice,1661,13.7,1,0
Rice,590,17.7,1,0
Rice,1832,28.8,1,0
Camera,90110,1.43,1,1
Luxury Watch,30687,3.66,0,1
Salt,859,14.8,0,0
Vegetables,1520,10.3,0,0
Luxury Watch,13599,3.47,1,1
Smartphone,98357,2.85,0,1
Rice,1232,23.6,0,0
Cooking Oil,1347,23.6,0,0
